id,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
tm184913,Four Brothers,MOVIE,2005,R,109,6.8,144656
tm118637,John Q,MOVIE,2002,PG-13,116,7,131999
tm58382,Not Another Teen Movie,MOVIE,2001,R,89,5.7,104604
tm40009,21,MOVIE,2008,PG-13,123,6.8,247039
ts12787,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,8.7,62367
tm154470,Terminator Salvation,MOVIE,2009,PG-13,110,6.5,357557
tm22294,Deck the Halls,MOVIE,2006,PG,93,5,27797
tm78067,The Girl Next Door,MOVIE,2007,R,91,6.5,26035
tm148379,The Cat in the Hat,MOVIE,2003,PG,81,4,81971
tm21467,Final Destination 3,MOVIE,2006,R,93,5.8,139797
tm46436,Thir13en Ghosts,MOVIE,2001,R,91,5.6,86492
tm57190,The One,MOVIE,2001,PG-13,87,5.9,91584
tm37546,Happy Feet,MOVIE,2006,PG,108,6.4,182612
tm30205,Ip Man,MOVIE,2008,R,108,8,221095
tm159310,Coach Carter,MOVIE,2005,PG-13,130,7.3,143670
tm89592,Blade: Trinity,MOVIE,2004,R,106,5.8,175210
tm167516,Monster-in-Law,MOVIE,2005,PG-13,101,5.5,60693
tm79895,Halloween,MOVIE,2007,R,109,6,118815
tm88045,How Do You Know,MOVIE,2010,PG-13,121,5.4,49599
tm111600,The Sweetest Thing,MOVIE,2002,R,84,5.1,58516
tm143938,The Final Destination,MOVIE,2009,R,82,5.1,104166
tm31187,The Other Boleyn Girl,MOVIE,2008,PG-13,115,6.7,111694
tm141390,Friday the 13th,MOVIE,2009,R,97,5.5,105938
tm74780,The Bucket List,MOVIE,2007,PG-13,97,7.4,242733
tm150214,Freddy vs. Jason,MOVIE,2003,R,97,5.7,117986
ts21544,Transformers: Prime,SHOW,2010,TV-Y7,22,7.9,6500
tm176528,Memoirs of a Geisha,MOVIE,2005,PG-13,145,7.3,146847
tm102337,A Nightmare on Elm Street,MOVIE,2010,R,95,5.2,99192
tm36188,Body of Lies,MOVIE,2008,R,128,7.1,224896
tm88382,A Cinderella Story,MOVIE,2004,PG,95,5.9,86395
ts31263,The Mole,SHOW,2001,TV-14,52,7.6,1104
tm47523,Osmosis Jones,MOVIE,2001,PG,95,6.3,35711
tm24088,Scary Movie 4,MOVIE,2006,PG-13,83,5.1,120188
tm137362,The Texas Chainsaw Massacre,MOVIE,2003,R,98,6.2,140741
tm177068,Fun with Dick and Jane,MOVIE,2005,PG-13,90,6.1,143998
tm82442,TMNT,MOVIE,2007,PG,87,6.2,64062
tm90864,Due Date,MOVIE,2010,R,95,6.5,339626
tm101249,Cop Out,MOVIE,2010,R,107,5.5,87673
ts687,The 4400,SHOW,2004,TV-14,44,7.3,44971
ts24028,Still Game,SHOW,2002,TV-14,29,8.9,7539
tm142564,3 Idiots,MOVIE,2009,PG-13,170,8.4,385782
ts23752,Midnight Diner,SHOW,2009,TV-MA,27,8.6,2110
ts21706,H2O: Just Add Water,SHOW,2006,TV-PG,25,7.2,14782
ts21740,Black Butler,SHOW,2008,TV-MA,25,8.3,1856
ts30356,Octonauts,SHOW,2010,TV-Y,15,7.6,1049
